FCS_ANNOTATION_ID	COMPENSATION_FLAG	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	MAXIMUM_INTENSITY	MINIMUM_INTENSITY	NUMBER_OF_EVENTS	NUMBER_OF_MARKERS	PANEL	WORKSPACE_ID
22422	N	EXP3727	ES103793	68333	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23351	N	EXP3727	ES103812	70200	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23290	N	EXP3727	ES103830	70078	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22355	N	EXP3727	ES103833	68199	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23296	N	EXP3727	ES103867	70090	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23297	N	EXP3727	ES103869	70092	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22304	N	EXP3727	ES103884	68097	1023	0	113115	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22420	N	EXP3727	ES103902	68329	1023	0	167820	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22417	N	EXP3727	ES103905	68323	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22412	N	EXP3727	ES103906	68313	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23279	N	EXP3727	ES103923	70056	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22214	N	EXP3727	ES103938	67917	1023	0	90660	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
23156	N	EXP3727	ES103947	69810	1023	0	200000	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22459	N	EXP3727	ES103975	68407	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22464	N	EXP3727	ES103981	68417	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23369	N	EXP3727	ES103990	70236	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22128	N	EXP3727	ES103996	67745	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23310	N	EXP3727	ES104004	70118	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23313	N	EXP3727	ES104005	70124	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22188	N	EXP3727	ES104013	67865	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22195	N	EXP3727	ES104017	67879	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22687	N	EXP3727	ES104019	68872	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22982	N	EXP3727	ES104030	69462	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22978	N	EXP3727	ES104033	69454	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23444	N	EXP3727	ES104047	70386	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23429	N	EXP3727	ES104057	70356	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
