FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
115771	6	FL4-H	AUTO4				
80996	1	FSC-H	Forward Scatter				
80996	2	SSC-H	Side Scatter				
80996	3	FL1-H	Anti-HLA-DR FITC				
80996	4	FL2-H	PE CD123				
80996	5	FL3-H	PP CD3 14 19 56				
80996	6	FL4-H	APC CD11C				
105601	1	FSC-H	FSC				
105601	2	SSC-H	SSC				
105601	3	FL1-H	FITC CD14				
105601	4	FL2-H	PE CD23				
105601	5	FL3-H	PP CD3				
105601	6	FL4-H	APC CD19				
120806	1	FSC-H	FSC				
120806	2	SSC-H	SSC				
120806	3	FL1-H	FITC CD4				
120806	4	FL2-H	PE CCR3				
120806	5	FL3-H	PP CD8				
120806	6	FL4-H	APC CCR4				
116254	1	FSC-H	FSC				
116254	2	SSC-H	SSC				
116254	3	FL1-H	FITC CD4				
116254	4	FL2-H	PE CD25				
116254	5	FL3-H	PP CD3				
116254	6	FL4-H	APC CD161				
93334	1	FSC-H	FSC				
93334	2	SSC-H	SSC				
93334	3	FL1-H	FITC CD4				
93334	4	FL2-H	PE CD25				
93334	5	FL3-H	PP CD3				
93334	6	FL4-H	APC CD45RA				
133126	1	FSC-H	FSC				
133126	2	SSC-H	SSC				
133126	3	FL1-H	FITC CD4				
133126	4	FL2-H	PE CD25				
133126	5	FL3-H	PP CD3				
133126	6	FL4-H	APC CD45RO				
122820	1	FSC-H	FSC				
122820	2	SSC-H	SSC				
122820	3	FL1-H	FITC CD4				
122820	4	FL2-H	PE CXCR3				
122820	5	FL3-H	PP CD8				
122820	6	FL4-H	APC CCR5				
79587	1	FSC-H	FSC				
79587	2	SSC-H	SSC				
79587	3	FL1-H	FITC CD56				
79587	4	FL2-H	PE CXCR3				
79587	5	FL3-H	PP CD3				
79587	6	FL4-H	APC CCR5				
134845	1	FSC-H	FSC				
134845	2	SSC-H	SSC				
134845	3	FL1-H	AUTO1				
134845	4	FL2-H	AUTO2				
134845	5	FL3-H	AUTO3				
134845	6	FL4-H	AUTO4				
77929	1	FSC-H	Forward Scatter				
77929	2	SSC-H	Side Scatter				
77929	3	FL1-H	Anti-HLA-DR FITC				
77929	4	FL2-H	PE CD123				
77929	5	FL3-H	PP CD3 14 19 56				
77929	6	FL4-H	APC CD11C				
107675	1	FSC-H	FSC				
107675	2	SSC-H	SSC				
107675	3	FL1-H	FITC CD14				
107675	4	FL2-H	PE CD23				
107675	5	FL3-H	PP CD3				
107675	6	FL4-H	APC CD19				
81314	1	FSC-H	FSC				
81314	2	SSC-H	SSC				
81314	3	FL1-H	FITC CD4				
81314	4	FL2-H	PE CCR3				
81314	5	FL3-H	PP CD8				
81314	6	FL4-H	APC CCR4				
78994	1	FSC-H	FSC				
78994	2	SSC-H	SSC				
78994	3	FL1-H	FITC CD4				
78994	4	FL2-H	PE CD25				
78994	5	FL3-H	PP CD3				
78994	6	FL4-H	APC CD161				
115555	1	FSC-H	FSC				
115555	2	SSC-H	SSC				
115555	3	FL1-H	FITC CD4				
115555	4	FL2-H	PE CD25				
115555	5	FL3-H	PP CD3				
115555	6	FL4-H	APC CD45RA				
81055	1	FSC-H	FSC				
81055	2	SSC-H	SSC				
81055	3	FL1-H	FITC CD4				
81055	4	FL2-H	PE CD25				
81055	5	FL3-H	PP CD3				
81055	6	FL4-H	APC CD45RO				
81823	1	FSC-H	FSC				
81823	2	SSC-H	SSC				
81823	3	FL1-H	FITC CD4				
81823	4	FL2-H	PE CXCR3				
81823	5	FL3-H	PP CD8				
81823	6	FL4-H	APC CCR5				
145446	1	FSC-H	FSC				
145446	2	SSC-H	SSC				
145446	3	FL1-H	FITC CD56				
145446	4	FL2-H	PE CXCR3				
145446	5	FL3-H	PP CD3				
145446	6	FL4-H	APC CCR5				
121412	1	FSC-H	FSC				
121412	2	SSC-H	SSC				
121412	3	FL1-H	AUTO1				
121412	4	FL2-H	AUTO2				
121412	5	FL3-H	AUTO3				
121412	6	FL4-H	AUTO4				
111720	1	FSC-H	Forward Scatter				
111720	2	SSC-H	Side Scatter				
