FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
84195	2	SSC-H	SSC				
84195	3	FL1-H	FITC CD4				
84195	4	FL2-H	PE CXCR3				
84195	5	FL3-H	PP CD8				
84195	6	FL4-H	APC CCR5				
129624	1	FSC-H	FSC				
129624	2	SSC-H	SSC				
129624	3	FL1-H	FITC CD56				
129624	4	FL2-H	PE CXCR3				
129624	5	FL3-H	PP CD3				
129624	6	FL4-H	APC CCR5				
88376	1	FSC-H	FSC				
88376	2	SSC-H	SSC				
88376	3	FL1-H	AUTO1				
88376	4	FL2-H	AUTO2				
88376	5	FL3-H	AUTO3				
88376	6	FL4-H	AUTO4				
124312	1	FSC-H	Forward Scatter				
124312	2	SSC-H	Side Scatter				
124312	3	FL1-H	Anti-HLA-DR FITC				
124312	4	FL2-H	PE CD123				
124312	5	FL3-H	PP CD3 14 19 56				
124312	6	FL4-H	APC CD11C				
104659	1	FSC-H	FSC				
104659	2	SSC-H	SSC				
104659	3	FL1-H	FITC CD14				
104659	4	FL2-H	PE CD23				
104659	5	FL3-H	PP CD3				
104659	6	FL4-H	APC CD19				
103632	1	FSC-H	FSC				
103632	2	SSC-H	SSC				
103632	3	FL1-H	FITC CD4				
103632	4	FL2-H	PE CCR3				
103632	5	FL3-H	PP CD8				
103632	6	FL4-H	APC CCR4				
134292	1	FSC-H	FSC				
134292	2	SSC-H	SSC				
134292	3	FL1-H	FITC CD4				
134292	4	FL2-H	PE CD25				
134292	5	FL3-H	PP CD3				
134292	6	FL4-H	APC CD161				
141996	1	FSC-H	FSC				
141996	2	SSC-H	SSC				
141996	3	FL1-H	FITC CD4				
141996	4	FL2-H	PE CD25				
141996	5	FL3-H	PP CD3				
141996	6	FL4-H	APC CD45RA				
138556	1	FSC-H	FSC				
138556	2	SSC-H	SSC				
138556	3	FL1-H	FITC CD4				
138556	4	FL2-H	PE CD25				
138556	5	FL3-H	PP CD3				
138556	6	FL4-H	APC CD45RO				
133316	1	FSC-H	FSC				
133316	2	SSC-H	SSC				
133316	3	FL1-H	FITC CD4				
133316	4	FL2-H	PE CXCR3				
133316	5	FL3-H	PP CD8				
133316	6	FL4-H	APC CCR5				
123283	1	FSC-H	FSC				
123283	2	SSC-H	SSC				
123283	3	FL1-H	FITC CD56				
123283	4	FL2-H	PE CXCR3				
123283	5	FL3-H	PP CD3				
123283	6	FL4-H	APC CCR5				
91854	1	FSC-H	FSC				
91854	2	SSC-H	SSC				
91854	3	FL1-H	AUTO1				
91854	4	FL2-H	AUTO2				
91854	5	FL3-H	AUTO3				
91854	6	FL4-H	AUTO4				
142500	1	FSC-H	Forward Scatter				
142500	2	SSC-H	Side Scatter				
142500	3	FL1-H	Anti-HLA-DR FITC				
142500	4	FL2-H	PE CD123				
142500	5	FL3-H	PP CD3 14 19 56				
142500	6	FL4-H	APC CD11C				
83775	1	FSC-H	FSC				
83775	2	SSC-H	SSC				
83775	3	FL1-H	FITC CD14				
83775	4	FL2-H	PE CD23				
83775	5	FL3-H	PP CD3				
83775	6	FL4-H	APC CD19				
133491	1	FSC-H	FSC				
133491	2	SSC-H	SSC				
133491	3	FL1-H	FITC CD4				
133491	4	FL2-H	PE CCR3				
133491	5	FL3-H	PP CD8				
133491	6	FL4-H	APC CCR4				
149893	1	FSC-H	FSC				
149893	2	SSC-H	SSC				
149893	3	FL1-H	FITC CD4				
149893	4	FL2-H	PE CD25				
149893	5	FL3-H	PP CD3				
149893	6	FL4-H	APC CD161				
132256	1	FSC-H	FSC				
132256	2	SSC-H	SSC				
132256	3	FL1-H	FITC CD4				
132256	4	FL2-H	PE CD25				
132256	5	FL3-H	PP CD3				
132256	6	FL4-H	APC CD45RA				
133193	1	FSC-H	FSC				
133193	2	SSC-H	SSC				
133193	3	FL1-H	FITC CD4				
133193	4	FL2-H	PE CD25				
133193	5	FL3-H	PP CD3				
133193	6	FL4-H	APC CD45RO				
128581	1	FSC-H	FSC				
128581	2	SSC-H	SSC				
128581	3	FL1-H	FITC CD4				
128581	4	FL2-H	PE CXCR3				
128581	5	FL3-H	PP CD8				
128581	6	FL4-H	APC CCR5				
87124	1	FSC-H	FSC				
87124	2	SSC-H	SSC				
87124	3	FL1-H	FITC CD56				
87124	4	FL2-H	PE CXCR3				
87124	5	FL3-H	PP CD3				
87124	6	FL4-H	APC CCR5				
129265	1	FSC-H	FSC				
129265	2	SSC-H	SSC				
129265	3	FL1-H	AUTO1				
129265	4	FL2-H	AUTO2				
129265	5	FL3-H	AUTO3				
129265	6	FL4-H	AUTO4				
92460	1	FSC-H	Forward Scatter				
92460	2	SSC-H	Side Scatter				
92460	3	FL1-H	Anti-HLA-DR FITC				
92460	4	FL2-H	PE CD123				
92460	5	FL3-H	PP CD3 14 19 56				
92460	6	FL4-H	APC CD11C				
76715	1	FSC-H	FSC				
76715	2	SSC-H	SSC				
76715	3	FL1-H	FITC CD14				
76715	4	FL2-H	PE CD23				
76715	5	FL3-H	PP CD3				
76715	6	FL4-H	APC CD19				
148343	1	FSC-H	FSC				
148343	2	SSC-H	SSC				
148343	3	FL1-H	FITC CD4				
148343	4	FL2-H	PE CCR3				
148343	5	FL3-H	PP CD8				
148343	6	FL4-H	APC CCR4				
150501	1	FSC-H	FSC				
150501	2	SSC-H	SSC				
150501	3	FL1-H	FITC CD4				
150501	4	FL2-H	PE CD25				
150501	5	FL3-H	PP CD3				
150501	6	FL4-H	APC CD161				
114361	1	FSC-H	FSC				
114361	2	SSC-H	SSC				
114361	3	FL1-H	FITC CD4				
114361	4	FL2-H	PE CD25				
114361	5	FL3-H	PP CD3				
114361	6	FL4-H	APC CD45RA				
78275	1	FSC-H	FSC				
78275	2	SSC-H	SSC				
78275	3	FL1-H	FITC CD4				
78275	4	FL2-H	PE CD25				
78275	5	FL3-H	PP CD3				
78275	6	FL4-H	APC CD45RO				
88028	1	FSC-H	FSC				
88028	2	SSC-H	SSC				
88028	3	FL1-H	FITC CD4				
88028	4	FL2-H	PE CXCR3				
88028	5	FL3-H	PP CD8				
88028	6	FL4-H	APC CCR5				
150256	1	FSC-H	FSC				
150256	2	SSC-H	SSC				
150256	3	FL1-H	FITC CD56				
150256	4	FL2-H	PE CXCR3				
150256	5	FL3-H	PP CD3				
150256	6	FL4-H	APC CCR5				
141061	1	FSC-H	FSC				
141061	2	SSC-H	SSC				
141061	3	FL1-H	AUTO1				
141061	4	FL2-H	AUTO2				
141061	5	FL3-H	AUTO3				
141061	6	FL4-H	AUTO4				
91961	1	FSC-H	Forward Scatter				
91961	2	SSC-H	Side Scatter				
91961	3	FL1-H	Anti-HLA-DR FITC				
91961	4	FL2-H	PE CD123				
91961	5	FL3-H	PP CD3 14 19 56				
91961	6	FL4-H	APC CD11C				
98782	1	FSC-H	FSC				
98782	2	SSC-H	SSC				
98782	3	FL1-H	FITC CD14				
98782	4	FL2-H	PE CD23				
98782	5	FL3-H	PP CD3				
98782	6	FL4-H	APC CD19				
105981	1	FSC-H	FSC				
105981	2	SSC-H	SSC				
105981	3	FL1-H	FITC CD4				
105981	4	FL2-H	PE CCR3				
105981	5	FL3-H	PP CD8				
105981	6	FL4-H	APC CCR4				
97509	1	FSC-H	FSC				
97509	2	SSC-H	SSC				
97509	3	FL1-H	FITC CD4				
97509	4	FL2-H	PE CD25				
97509	5	FL3-H	PP CD3				
97509	6	FL4-H	APC CD161				
119215	1	FSC-H	FSC				
119215	2	SSC-H	SSC				
119215	3	FL1-H	FITC CD4				
119215	4	FL2-H	PE CD25				
119215	5	FL3-H	PP CD3				
119215	6	FL4-H	APC CD45RA				
115432	1	FSC-H	FSC				
115432	2	SSC-H	SSC				
115432	3	FL1-H	FITC CD4				
115432	4	FL2-H	PE CD25				
115432	5	FL3-H	PP CD3				
115432	6	FL4-H	APC CD45RO				
124186	1	FSC-H	FSC				
124186	2	SSC-H	SSC				
124186	3	FL1-H	FITC CD4				
124186	4	FL2-H	PE CXCR3				
124186	5	FL3-H	PP CD8				
124186	6	FL4-H	APC CCR5				
123531	1	FSC-H	FSC				
123531	2	SSC-H	SSC				
123531	3	FL1-H	FITC CD56				
123531	4	FL2-H	PE CXCR3				
123531	5	FL3-H	PP CD3				
123531	6	FL4-H	APC CCR5				
127486	1	FSC-H	FSC				
127486	2	SSC-H	SSC				
127486	3	FL1-H	AUTO1				
127486	4	FL2-H	AUTO2				
127486	5	FL3-H	AUTO3				
127486	6	FL4-H	AUTO4				
117820	1	FSC-H	Forward Scatter				
117820	2	SSC-H	Side Scatter				
117820	3	FL1-H	Anti-HLA-DR FITC				
117820	4	FL2-H	PE CD123				
117820	5	FL3-H	PP CD3 14 19 56				
117820	6	FL4-H	APC CD11C				
97083	1	FSC-H	FSC				
97083	2	SSC-H	SSC				
97083	3	FL1-H	FITC CD14				
97083	4	FL2-H	PE CD23				
97083	5	FL3-H	PP CD3				
97083	6	FL4-H	APC CD19				
115646	1	FSC-H	FSC				
115646	2	SSC-H	SSC				
115646	3	FL1-H	FITC CD4				
115646	4	FL2-H	PE CCR3				
115646	5	FL3-H	PP CD8				
115646	6	FL4-H	APC CCR4				
129859	1	FSC-H	FSC				
129859	2	SSC-H	SSC				
129859	3	FL1-H	FITC CD4				
129859	4	FL2-H	PE CD25				
129859	5	FL3-H	PP CD3				
129859	6	FL4-H	APC CD161				
95134	1	FSC-H	FSC				
95134	2	SSC-H	SSC				
95134	3	FL1-H	FITC CD4				
95134	4	FL2-H	PE CD25				
95134	5	FL3-H	PP CD3				
95134	6	FL4-H	APC CD45RA				
130953	1	FSC-H	FSC				
130953	2	SSC-H	SSC				
130953	3	FL1-H	FITC CD4				
130953	4	FL2-H	PE CD25				
130953	5	FL3-H	PP CD3				
130953	6	FL4-H	APC CD45RO				
127727	1	FSC-H	FSC				
127727	2	SSC-H	SSC				
127727	3	FL1-H	FITC CD4				
127727	4	FL2-H	PE CXCR3				
127727	5	FL3-H	PP CD8				
127727	6	FL4-H	APC CCR5				
76414	1	FSC-H	FSC				
76414	2	SSC-H	SSC				
76414	3	FL1-H	FITC CD56				
76414	4	FL2-H	PE CXCR3				
76414	5	FL3-H	PP CD3				
76414	6	FL4-H	APC CCR5				
126667	1	FSC-H	FSC				
126667	2	SSC-H	SSC				
126667	3	FL1-H	AUTO1				
126667	4	FL2-H	AUTO2				
126667	5	FL3-H	AUTO3				
126667	6	FL4-H	AUTO4				
132361	1	FSC-H	Forward Scatter				
132361	2	SSC-H	Side Scatter				
132361	3	FL1-H	Anti-HLA-DR FITC				
132361	4	FL2-H	PE CD123				
132361	5	FL3-H	PP CD3 14 19 56				
132361	6	FL4-H	APC CD11C				
92540	1	FSC-H	FSC				
92540	2	SSC-H	SSC				
92540	3	FL1-H	FITC CD14				
92540	4	FL2-H	PE CD23				
92540	5	FL3-H	PP CD3				
92540	6	FL4-H	APC CD19				
102474	1	FSC-H	FSC				
102474	2	SSC-H	SSC				
102474	3	FL1-H	FITC CD4				
102474	4	FL2-H	PE CCR3				
102474	5	FL3-H	PP CD8				
102474	6	FL4-H	APC CCR4				
140801	1	FSC-H	FSC				
140801	2	SSC-H	SSC				
140801	3	FL1-H	FITC CD4				
140801	4	FL2-H	PE CD25				
140801	5	FL3-H	PP CD3				
140801	6	FL4-H	APC CD161				
110051	1	FSC-H	FSC				
110051	2	SSC-H	SSC				
110051	3	FL1-H	FITC CD4				
110051	4	FL2-H	PE CD25				
110051	5	FL3-H	PP CD3				
110051	6	FL4-H	APC CD45RA				
123536	1	FSC-H	FSC				
123536	2	SSC-H	SSC				
123536	3	FL1-H	FITC CD4				
123536	4	FL2-H	PE CD25				
123536	5	FL3-H	PP CD3				
123536	6	FL4-H	APC CD45RO				
82041	1	FSC-H	FSC				
82041	2	SSC-H	SSC				
82041	3	FL1-H	FITC CD4				
82041	4	FL2-H	PE CXCR3				
82041	5	FL3-H	PP CD8				
82041	6	FL4-H	APC CCR5				
77660	1	FSC-H	FSC				
77660	2	SSC-H	SSC				
77660	3	FL1-H	FITC CD56				
77660	4	FL2-H	PE CXCR3				
77660	5	FL3-H	PP CD3				
77660	6	FL4-H	APC CCR5				
132137	1	FSC-H	FSC				
132137	2	SSC-H	SSC				
132137	3	FL1-H	AUTO1				
132137	4	FL2-H	AUTO2				
132137	5	FL3-H	AUTO3				
132137	6	FL4-H	AUTO4				
91853	1	FSC-H	Forward Scatter				
91853	2	SSC-H	Side Scatter				
91853	3	FL1-H	Anti-HLA-DR FITC				
91853	4	FL2-H	PE CD123				
91853	5	FL3-H	PP CD3 14 19 56				
91853	6	FL4-H	APC CD11C				
148883	1	FSC-H	FSC				
148883	2	SSC-H	SSC				
148883	3	FL1-H	FITC CD14				
148883	4	FL2-H	PE CD23				
148883	5	FL3-H	PP CD3				
148883	6	FL4-H	APC CD19				
111346	1	FSC-H	FSC				
111346	2	SSC-H	SSC				
111346	3	FL1-H	FITC CD4				
111346	4	FL2-H	PE CCR3				
111346	5	FL3-H	PP CD8				
111346	6	FL4-H	APC CCR4				
102595	1	FSC-H	FSC				
102595	2	SSC-H	SSC				
102595	3	FL1-H	FITC CD4				
102595	4	FL2-H	PE CD25				
102595	5	FL3-H	PP CD3				
102595	6	FL4-H	APC CD161				
147711	1	FSC-H	FSC				
147711	2	SSC-H	SSC				
147711	3	FL1-H	FITC CD4				
147711	4	FL2-H	PE CD25				
147711	5	FL3-H	PP CD3				
147711	6	FL4-H	APC CD45RA				
103151	1	FSC-H	FSC				
103151	2	SSC-H	SSC				
103151	3	FL1-H	FITC CD4				
103151	4	FL2-H	PE CD25				
103151	5	FL3-H	PP CD3				
103151	6	FL4-H	APC CD45RO				
144964	1	FSC-H	FSC				
144964	2	SSC-H	SSC				
144964	3	FL1-H	FITC CD4				
144964	4	FL2-H	PE CXCR3				
144964	5	FL3-H	PP CD8				
144964	6	FL4-H	APC CCR5				
83529	1	FSC-H	FSC				
83529	2	SSC-H	SSC				
83529	3	FL1-H	FITC CD56				
83529	4	FL2-H	PE CXCR3				
83529	5	FL3-H	PP CD3				
83529	6	FL4-H	APC CCR5				
89298	1	FSC-H	FSC				
89298	2	SSC-H	SSC				
89298	3	FL1-H	AUTO1				
89298	4	FL2-H	AUTO2				
89298	5	FL3-H	AUTO3				
89298	6	FL4-H	AUTO4				
99099	1	FSC-H	Forward Scatter				
99099	2	SSC-H	Side Scatter				
99099	3	FL1-H	Anti-HLA-DR FITC				
99099	4	FL2-H	PE CD123				
99099	5	FL3-H	PP CD3 14 19 56				
99099	6	FL4-H	APC CD11C				
128407	1	FSC-H	FSC				
128407	2	SSC-H	SSC				
128407	3	FL1-H	FITC CD14				
128407	4	FL2-H	PE CD23				
128407	5	FL3-H	PP CD3				
128407	6	FL4-H	APC CD19				
116841	1	FSC-H	FSC				
116841	2	SSC-H	SSC				
116841	3	FL1-H	FITC CD4				
116841	4	FL2-H	PE CCR3				
116841	5	FL3-H	PP CD8				
116841	6	FL4-H	APC CCR4				
112637	1	FSC-H	FSC				
112637	2	SSC-H	SSC				
112637	3	FL1-H	FITC CD4				
112637	4	FL2-H	PE CD25				
112637	5	FL3-H	PP CD3				
112637	6	FL4-H	APC CD161				
79464	1	FSC-H	FSC				
79464	2	SSC-H	SSC				
79464	3	FL1-H	FITC CD4				
79464	4	FL2-H	PE CD25				
79464	5	FL3-H	PP CD3				
79464	6	FL4-H	APC CD45RA				
95299	1	FSC-H	FSC				
95299	2	SSC-H	SSC				
95299	3	FL1-H	FITC CD4				
95299	4	FL2-H	PE CD25				
95299	5	FL3-H	PP CD3				
95299	6	FL4-H	APC CD45RO				
142384	1	FSC-H	FSC				
142384	2	SSC-H	SSC				
142384	3	FL1-H	FITC CD4				
142384	4	FL2-H	PE CXCR3				
142384	5	FL3-H	PP CD8				
142384	6	FL4-H	APC CCR5				
141562	1	FSC-H	FSC				
141562	2	SSC-H	SSC				
141562	3	FL1-H	FITC CD56				
141562	4	FL2-H	PE CXCR3				
141562	5	FL3-H	PP CD3				
141562	6	FL4-H	APC CCR5				
114928	1	FSC-H	FSC				
114928	2	SSC-H	SSC				
114928	3	FL1-H	AUTO1				
114928	4	FL2-H	AUTO2				
114928	5	FL3-H	AUTO3				
114928	6	FL4-H	AUTO4				
124455	1	FSC-H	Forward Scatter				
124455	2	SSC-H	Side Scatter				
124455	3	FL1-H	Anti-HLA-DR FITC				
124455	4	FL2-H	PE CD123				
124455	5	FL3-H	PP CD3 14 19 56				
124455	6	FL4-H	APC CD11C				
80881	1	FSC-H	FSC				
80881	2	SSC-H	SSC				
80881	3	FL1-H	FITC CD14				
80881	4	FL2-H	PE CD23				
80881	5	FL3-H	PP CD3				
80881	6	FL4-H	APC CD19				
96830	1	FSC-H	FSC				
96830	2	SSC-H	SSC				
96830	3	FL1-H	FITC CD4				
96830	4	FL2-H	PE CCR3				
96830	5	FL3-H	PP CD8				
96830	6	FL4-H	APC CCR4				
137669	1	FSC-H	FSC				
137669	2	SSC-H	SSC				
137669	3	FL1-H	FITC CD4				
137669	4	FL2-H	PE CD25				
137669	5	FL3-H	PP CD3				
137669	6	FL4-H	APC CD161				
111615	1	FSC-H	FSC				
111615	2	SSC-H	SSC				
111615	3	FL1-H	FITC CD4				
111615	4	FL2-H	PE CD25				
111615	5	FL3-H	PP CD3				
111615	6	FL4-H	APC CD45RA				
121591	1	FSC-H	FSC				
121591	2	SSC-H	SSC				
121591	3	FL1-H	FITC CD4				
121591	4	FL2-H	PE CD25				
121591	5	FL3-H	PP CD3				
121591	6	FL4-H	APC CD45RO				
77602	1	FSC-H	FSC				
77602	2	SSC-H	SSC				
77602	3	FL1-H	FITC CD4				
77602	4	FL2-H	PE CXCR3				
77602	5	FL3-H	PP CD8				
77602	6	FL4-H	APC CCR5				
115804	1	FSC-H	FSC				
115804	2	SSC-H	SSC				
115804	3	FL1-H	FITC CD56				
115804	4	FL2-H	PE CXCR3				
115804	5	FL3-H	PP CD3				
115804	6	FL4-H	APC CCR5				
126031	1	FSC-H	FSC				
126031	2	SSC-H	SSC				
126031	3	FL1-H	AUTO1				
126031	4	FL2-H	AUTO2				
126031	5	FL3-H	AUTO3				
126031	6	FL4-H	AUTO4				
142284	1	FSC-H	Forward Scatter				
142284	2	SSC-H	Side Scatter				
142284	3	FL1-H	Anti-HLA-DR FITC				
142284	4	FL2-H	PE CD123				
142284	5	FL3-H	PP CD3 14 19 56				
142284	6	FL4-H	APC CD11C				
134219	1	FSC-H	FSC				
134219	2	SSC-H	SSC				
134219	3	FL1-H	FITC CD14				
134219	4	FL2-H	PE CD23				
134219	5	FL3-H	PP CD3				
134219	6	FL4-H	APC CD19				
142598	1	FSC-H	FSC				
142598	2	SSC-H	SSC				
142598	3	FL1-H	FITC CD4				
142598	4	FL2-H	PE CCR3				
142598	5	FL3-H	PP CD8				
142598	6	FL4-H	APC CCR4				
91484	1	FSC-H	FSC				
91484	2	SSC-H	SSC				
91484	3	FL1-H	FITC CD4				
91484	4	FL2-H	PE CD25				
91484	5	FL3-H	PP CD3				
91484	6	FL4-H	APC CD161				
145250	1	FSC-H	FSC				
145250	2	SSC-H	SSC				
145250	3	FL1-H	FITC CD4				
145250	4	FL2-H	PE CD25				
145250	5	FL3-H	PP CD3				
145250	6	FL4-H	APC CD45RA				
116285	1	FSC-H	FSC				
116285	2	SSC-H	SSC				
116285	3	FL1-H	FITC CD4				
116285	4	FL2-H	PE CD25				
116285	5	FL3-H	PP CD3				
116285	6	FL4-H	APC CD45RO				
118987	1	FSC-H	FSC				
118987	2	SSC-H	SSC				
118987	3	FL1-H	FITC CD4				
118987	4	FL2-H	PE CXCR3				
118987	5	FL3-H	PP CD8				
118987	6	FL4-H	APC CCR5				
82410	1	FSC-H	FSC				
82410	2	SSC-H	SSC				
82410	3	FL1-H	FITC CD56				
82410	4	FL2-H	PE CXCR3				
82410	5	FL3-H	PP CD3				
82410	6	FL4-H	APC CCR5				
107768	1	FSC-H	FSC				
107768	2	SSC-H	SSC				
107768	3	FL1-H	AUTO1				
107768	4	FL2-H	AUTO2				
107768	5	FL3-H	AUTO3				
107768	6	FL4-H	AUTO4				
108931	1	FSC-H	Forward Scatter				
108931	2	SSC-H	Side Scatter				
108931	3	FL1-H	Anti-HLA-DR FITC				
108931	4	FL2-H	PE CD123				
108931	5	FL3-H	PP CD3 14 19 56				
108931	6	FL4-H	APC CD11C				
139943	1	FSC-H	FSC				
139943	2	SSC-H	SSC				
139943	3	FL1-H	FITC CD14				
139943	4	FL2-H	PE CD23				
139943	5	FL3-H	PP CD3				
139943	6	FL4-H	APC CD19				
133797	1	FSC-H	FSC				
133797	2	SSC-H	SSC				
133797	3	FL1-H	FITC CD4				
133797	4	FL2-H	PE CCR3				
133797	5	FL3-H	PP CD8				
133797	6	FL4-H	APC CCR4				
137755	1	FSC-H	FSC				
137755	2	SSC-H	SSC				
137755	3	FL1-H	FITC CD4				
137755	4	FL2-H	PE CD25				
137755	5	FL3-H	PP CD3				
137755	6	FL4-H	APC CD161				
103085	1	FSC-H	FSC				
103085	2	SSC-H	SSC				
103085	3	FL1-H	FITC CD4				
103085	4	FL2-H	PE CD25				
103085	5	FL3-H	PP CD3				
103085	6	FL4-H	APC CD45RA				
100075	1	FSC-H	FSC				
100075	2	SSC-H	SSC				
100075	3	FL1-H	FITC CD4				
100075	4	FL2-H	PE CD25				
100075	5	FL3-H	PP CD3				
100075	6	FL4-H	APC CD45RO				
137380	1	FSC-H	FSC				
137380	2	SSC-H	SSC				
137380	3	FL1-H	FITC CD4				
137380	4	FL2-H	PE CXCR3				
137380	5	FL3-H	PP CD8				
137380	6	FL4-H	APC CCR5				
84596	1	FSC-H	FSC				
84596	2	SSC-H	SSC				
84596	3	FL1-H	FITC CD56				
84596	4	FL2-H	PE CXCR3				
84596	5	FL3-H	PP CD3				
84596	6	FL4-H	APC CCR5				
114495	1	FSC-H	FSC				
114495	2	SSC-H	SSC				
114495	3	FL1-H	AUTO1				
114495	4	FL2-H	AUTO2				
114495	5	FL3-H	AUTO3				
114495	6	FL4-H	AUTO4				
130479	1	FSC-H	Forward Scatter				
130479	2	SSC-H	Side Scatter				
130479	3	FL1-H	Anti-HLA-DR FITC				
130479	4	FL2-H	PE CD123				
130479	5	FL3-H	PP CD3 14 19 56				
130479	6	FL4-H	APC CD11C				
105738	1	FSC-H	FSC				
105738	2	SSC-H	SSC				
105738	3	FL1-H	FITC CD14				
105738	4	FL2-H	PE CD23				
105738	5	FL3-H	PP CD3				
105738	6	FL4-H	APC CD19				
118444	1	FSC-H	FSC				
118444	2	SSC-H	SSC				
118444	3	FL1-H	FITC CD4				
118444	4	FL2-H	PE CCR3				
118444	5	FL3-H	PP CD8				
118444	6	FL4-H	APC CCR4				
147504	1	FSC-H	FSC				
147504	2	SSC-H	SSC				
147504	3	FL1-H	FITC CD4				
147504	4	FL2-H	PE CD25				
147504	5	FL3-H	PP CD3				
147504	6	FL4-H	APC CD161				
102398	1	FSC-H	FSC				
102398	2	SSC-H	SSC				
102398	3	FL1-H	FITC CD4				
102398	4	FL2-H	PE CD25				
102398	5	FL3-H	PP CD3				
102398	6	FL4-H	APC CD45RA				
98776	1	FSC-H	FSC				
98776	2	SSC-H	SSC				
98776	3	FL1-H	FITC CD4				
98776	4	FL2-H	PE CD25				
98776	5	FL3-H	PP CD3				
98776	6	FL4-H	APC CD45RO				
94719	1	FSC-H	FSC				
94719	2	SSC-H	SSC				
94719	3	FL1-H	FITC CD4				
94719	4	FL2-H	PE CXCR3				
94719	5	FL3-H	PP CD8				
94719	6	FL4-H	APC CCR5				
84303	1	FSC-H	FSC				
84303	2	SSC-H	SSC				
84303	3	FL1-H	FITC CD56				
84303	4	FL2-H	PE CXCR3				
84303	5	FL3-H	PP CD3				
84303	6	FL4-H	APC CCR5				
128518	1	FSC-H	FSC				
128518	2	SSC-H	SSC				
128518	3	FL1-H	AUTO1				
128518	4	FL2-H	AUTO2				
128518	5	FL3-H	AUTO3				
128518	6	FL4-H	AUTO4				
129491	1	FSC-H	Forward Scatter				
129491	2	SSC-H	Side Scatter				
129491	3	FL1-H	Anti-HLA-DR FITC				
129491	4	FL2-H	PE CD123				
129491	5	FL3-H	PP CD3 14 19 56				
129491	6	FL4-H	APC CD11C				
128337	1	FSC-H	FSC				
128337	2	SSC-H	SSC				
128337	3	FL1-H	FITC CD14				
128337	4	FL2-H	PE CD23				
128337	5	FL3-H	PP CD3				
128337	6	FL4-H	APC CD19				
101179	1	FSC-H	FSC				
101179	2	SSC-H	SSC				
101179	3	FL1-H	FITC CD4				
101179	4	FL2-H	PE CCR3				
101179	5	FL3-H	PP CD8				
101179	6	FL4-H	APC CCR4				
93947	1	FSC-H	FSC				
93947	2	SSC-H	SSC				
93947	3	FL1-H	FITC CD4				
93947	4	FL2-H	PE CD25				
93947	5	FL3-H	PP CD3				
93947	6	FL4-H	APC CD161				
136751	1	FSC-H	FSC				
136751	2	SSC-H	SSC				
136751	3	FL1-H	FITC CD4				
136751	4	FL2-H	PE CD25				
136751	5	FL3-H	PP CD3				
136751	6	FL4-H	APC CD45RA				
98467	1	FSC-H	FSC				
98467	2	SSC-H	SSC				
98467	3	FL1-H	FITC CD4				
98467	4	FL2-H	PE CD25				
98467	5	FL3-H	PP CD3				
98467	6	FL4-H	APC CD45RO				
87965	1	FSC-H	FSC				
87965	2	SSC-H	SSC				
87965	3	FL1-H	FITC CD4				
87965	4	FL2-H	PE CXCR3				
87965	5	FL3-H	PP CD8				
87965	6	FL4-H	APC CCR5				
135102	1	FSC-H	FSC				
135102	2	SSC-H	SSC				
135102	3	FL1-H	FITC CD56				
135102	4	FL2-H	PE CXCR3				
135102	5	FL3-H	PP CD3				
135102	6	FL4-H	APC CCR5				
139065	1	FSC-H	FSC				
139065	2	SSC-H	SSC				
139065	3	FL1-H	AUTO1				
139065	4	FL2-H	AUTO2				
139065	5	FL3-H	AUTO3				
139065	6	FL4-H	AUTO4				
145230	1	FSC-H	Forward Scatter				
145230	2	SSC-H	Side Scatter				
145230	3	FL1-H	Anti-HLA-DR FITC				
145230	4	FL2-H	PE CD123				
145230	5	FL3-H	PP CD3 14 19 56				
145230	6	FL4-H	APC CD11C				
146310	1	FSC-H	FSC				
146310	2	SSC-H	SSC				
146310	3	FL1-H	FITC CD14				
146310	4	FL2-H	PE CD23				
146310	5	FL3-H	PP CD3				
146310	6	FL4-H	APC CD19				
133906	1	FSC-H	FSC				
133906	2	SSC-H	SSC				
133906	3	FL1-H	FITC CD4				
133906	4	FL2-H	PE CCR3				
133906	5	FL3-H	PP CD8				
133906	6	FL4-H	APC CCR4				
114434	1	FSC-H	FSC				
114434	2	SSC-H	SSC				
114434	3	FL1-H	FITC CD4				
114434	4	FL2-H	PE CD25				
114434	5	FL3-H	PP CD3				
114434	6	FL4-H	APC CD161				
83851	1	FSC-H	FSC				
83851	2	SSC-H	SSC				
83851	3	FL1-H	FITC CD4				
83851	4	FL2-H	PE CD25				
83851	5	FL3-H	PP CD3				
83851	6	FL4-H	APC CD45RA				
85251	1	FSC-H	FSC				
85251	2	SSC-H	SSC				
85251	3	FL1-H	FITC CD4				
85251	4	FL2-H	PE CD25				
85251	5	FL3-H	PP CD3				
85251	6	FL4-H	APC CD45RO				
94361	1	FSC-H	FSC				
94361	2	SSC-H	SSC				
94361	3	FL1-H	FITC CD4				
94361	4	FL2-H	PE CXCR3				
94361	5	FL3-H	PP CD8				
94361	6	FL4-H	APC CCR5				
135453	1	FSC-H	FSC				
135453	2	SSC-H	SSC				
135453	3	FL1-H	FITC CD56				
135453	4	FL2-H	PE CXCR3				
135453	5	FL3-H	PP CD3				
135453	6	FL4-H	APC CCR5				
80241	1	FSC-H	FSC				
