EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES104334	EXP3727	69697	Flow_Cytometry	FCM
ES104335	EXP3727	69686	Flow_Cytometry	FCM
ES104336	EXP3727	69693	Flow_Cytometry	FCM
ES104337	EXP3727	69688	Flow_Cytometry	FCM
ES104341	EXP3727	70373	Flow_Cytometry	FCM
ES104343	EXP3727	70375	Flow_Cytometry	FCM
ES104345	EXP3727	70370	Flow_Cytometry	FCM
ES104347	EXP3727	70377	Flow_Cytometry	FCM
ES104350	EXP3727	69839	Flow_Cytometry	FCM
ES104362	EXP3727	68856	Flow_Cytometry	FCM
ES104366	EXP3727	68865	Flow_Cytometry	FCM
ES104369	EXP3727	69259	Flow_Cytometry	FCM
ES104374	EXP3727	69266	Flow_Cytometry	FCM
ES104375	EXP3727	69269	Flow_Cytometry	FCM
ES104377	EXP3727	68018	Flow_Cytometry	FCM
ES104378	EXP3727	68013	Flow_Cytometry	FCM
ES104381	EXP3727	68015	Flow_Cytometry	FCM
ES104382	EXP3727	68011	Flow_Cytometry	FCM
ES104382	EXP3727	68012	Flow_Cytometry	FCM
ES104387	EXP3727	68824	Flow_Cytometry	FCM
ES104388	EXP3727	68831	Flow_Cytometry	FCM
ES104393	EXP3727	69217	Flow_Cytometry	FCM
ES104397	EXP3727	69200	Flow_Cytometry	FCM
ES104406	EXP3727	69273	Flow_Cytometry	FCM
ES104410	EXP3727	69286	Flow_Cytometry	FCM
ES104414	EXP3727	69588	Flow_Cytometry	FCM
ES104415	EXP3727	69578	Flow_Cytometry	FCM
ES104418	EXP3727	69591	Flow_Cytometry	FCM
ES104422	EXP3727	69330	Flow_Cytometry	FCM
ES104423	EXP3727	69337	Flow_Cytometry	FCM
ES104440	EXP3727	69093	Flow_Cytometry	FCM
ES104447	EXP3727	68812	Flow_Cytometry	FCM
ES104451	EXP3727	68811	Flow_Cytometry	FCM
ES104452	EXP3727	68807	Flow_Cytometry	FCM
ES104453	EXP3727	68816	Flow_Cytometry	FCM
ES104455	EXP3727	69622	Flow_Cytometry	FCM
ES104456	EXP3727	69619	Flow_Cytometry	FCM
ES104457	EXP3727	69625	Flow_Cytometry	FCM
ES104463	EXP3727	68949	Flow_Cytometry	FCM
ES104465	EXP3727	68938	Flow_Cytometry	FCM
ES104470	EXP3727	68947	Flow_Cytometry	FCM
ES104471	EXP3727	69504	Flow_Cytometry	FCM
ES104473	EXP3727	69492	Flow_Cytometry	FCM
ES104473	EXP3727	69493	Flow_Cytometry	FCM
ES104478	EXP3727	69500	Flow_Cytometry	FCM
ES104479	EXP3727	69503	Flow_Cytometry	FCM
ES104480	EXP3727	69576	Flow_Cytometry	FCM
ES104481	EXP3727	69569	Flow_Cytometry	FCM
ES104483	EXP3727	69570	Flow_Cytometry	FCM
ES104485	EXP3727	69566	Flow_Cytometry	FCM
ES104487	EXP3727	69573	Flow_Cytometry	FCM
ES104489	EXP3727	69127	Flow_Cytometry	FCM
ES104494	EXP3727	69117	Flow_Cytometry	FCM
ES104498	EXP3727	68932	Flow_Cytometry	FCM
ES104504	EXP3727	68920	Flow_Cytometry	FCM
ES104506	EXP3727	69612	Flow_Cytometry	FCM
ES104507	EXP3727	69605	Flow_Cytometry	FCM
ES104511	EXP3727	69602	Flow_Cytometry	FCM
ES104512	EXP3727	69598	Flow_Cytometry	FCM
